,address,checkins,city,country,created,icon,latitude,longitude,title,type,updated
1,Мячковский б-р 3а,435,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.657941,37.751574,Baila Baila,Клуб,2017-02-19 15:45:42
2,Дачная 2а,14,Самара,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,53.202017,50.141377,Lust,Клуб,2017-01-03 21:16:37
3,Лени Голикова 29,8,Санкт-Петербург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,59.843376,30.23148,Тайфун,Клуб,2017-02-06 16:25:33
4,Героев Танкограда 63,8,Челябинск,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.174954,61.451611,Hollywood,Клуб,2016-08-02 17:02:56
5,Мусы Джалиля 14К1,38,Новосибирск,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,54.860834,83.091932,Барабас,Клуб,2017-03-05 13:18:04
6,Мусы Джалиля 14,6,Новосибирск,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,54.861114,83.091415,Опера,Клуб,2016-08-19 16:00:59
7,Труда 153,15,Челябинск,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.166948,61.395017,Малахит,Клуб,2016-08-09 15:07:31
8,Сони Кривой 81,3,Челябинск,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.157006,61.365395,Полет,Клуб,2016-02-20 04:36:13
9,просп. Ленина 66а,161,Челябинск,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.160365,61.380302,Уральские пельмени,Клуб,2017-03-06 08:53:14
10,Гурьянова 31,13,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.684858,37.7183,Salvador Dali,Клуб,2015-10-27 03:21:43
11,Энгельса 1К1,1,Новосибирск,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,54.871906,83.106557,Четыре комнаты,Клуб,2017-01-23 15:26:45
12,Железноводская 68,3,Санкт-Петербург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,59.949213,30.234373,Занзибар,Клуб,2016-06-03 16:22:31
13,ул.Красная 24,2,Санкт-Петербург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,59.960462,30.286592,Проект,Клуб,2015-02-19 10:34:12
14,Полтавская 7,3,Санкт-Петербург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,59.92672,30.368536,La,Клуб,2015-09-27 16:14:05
15,2-я Брестская 6,5,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.770968,37.591562,Моспроект,Клуб,2015-10-06 13:08:26
16,2-ая Боровая 11б,4,Волгоград,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,48.721596,44.535346,Зажигалка,Клуб,2017-02-22 06:13:42
17,Мира 23,2,Екатеринбург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,56.840941,60.652137,Центр мира,Клуб,2017-01-13 07:36:14
18,Московский проспект 20,6,Новосибирск,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.029394,82.933293,The Past Pavilion,Клуб,2014-08-16 09:29:55
19,Ланское ш. 15,20,Санкт-Петербург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,59.991147,30.307604,Вертеп Карабаса Барабаса,Клуб,2016-12-31 19:51:27
20,Лубянский пр. 25К1,0,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.757116,37.63146,Дом Кукера,Клуб,2012-08-11 15:37:03
21,Литейный пр. ,8,Челябинск,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.151862,61.304467,Летняя веранда Geometria,Клуб,2014-05-24 09:13:38
22,Новослободская 26,2,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.783104,37.598025,Хроника-бар,Клуб,2014-04-22 13:17:38
23,Черноморская 37а,0,Краснодар,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,45.030744,39.107527,Какаду,Клуб,2015-05-23 13:36:33
24,ская 208,0,Краснодар,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.676783,37.762449,СУ-27,Клуб,2015-12-05 07:44:16
25,Богданова 138,5,Краснодар,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,45.020991,39.000241,Кокос,Клуб,2015-12-23 04:03:45
26,Северная 620,6,Краснодар,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,45.039534,38.979894,Распутин,Клуб,2012-09-17 05:37:32
27,Мира 1б,1,Уфа,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,54.813967,56.059096,Goldy,Клуб,2016-11-26 23:16:22
28,1-я Останкинская 23,4,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.82439,37.622387,Club 23,Клуб,2016-11-07 04:51:02
29,Ленина 119,1,Екатеринбург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,56.839774,60.615122,Камелот,Клуб,2013-08-05 19:48:53
30,ул. 8 Марта 13,5,Екатеринбург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,56.83615,60.600448,Down Town,Клуб,2012-09-20 17:12:58
31,Кирова 113К2,5,Новосибирск,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.013007,82.954521,Небо,Клуб,2017-01-24 12:50:39
32,Щелковское ш. 5,3,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.80402,37.755266,Каста,Клуб,2016-10-16 14:55:30
33,Зеленодольская 43,9,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.702617,37.766585,Campanello,Клуб,2014-12-11 15:48:52
34, 15,17,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.930433,37.852652,Atoll,Клуб,2017-02-15 08:02:30
35,Покровка 18К18,49,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.758808,37.646435,Карибы,Клуб,2016-05-28 00:08:20
36,наб. Мартынова 94,11,Санкт-Петербург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,59.975815,30.245647,RT-1,Клуб,2015-05-16 17:58:59
37,пр. Большевиков 59б,3,Самара,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,53.211897,50.209922,Золотая чаша,Клуб,2017-01-13 16:02:57
38,М. Сухаревская пл. 70а,2,Иркутск,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,52.342141,104.213358,Barracuda,Клуб,2016-07-31 21:09:02
39,Кастанаевская 38,3,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.73587,37.479627,Стрела,Клуб,2015-04-01 23:30:40
40,7-й Северный Форт ,0,Иркутск,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,52.313021,104.27568,Leto Project,Клуб,
41,новочеркасский 29К1,176,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.653665,37.76672,Жажда,Клуб,2017-03-08 01:26:41
42,Ланское шоссе 48,0,Воронеж,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,51.680157,39.175467,Tarantul,Клуб,2012-11-13 08:41:49
43,Комсомольская 2,12,Уфа,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,54.737465,55.990797,Sova,Клуб,2017-02-23 18:46:13
44,просп. Мира 119,4,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.828703,37.633688,M-Club,Клуб,2012-07-25 18:44:21
45,просп. Мира 150,13,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.822463,37.646768,Happyland,Клуб,2016-10-31 22:19:03
46,Маяковского 65К1,65,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.730466,37.623726,FAQ-Caf?,Клуб,2015-12-20 18:47:52
47,Волков пер. 13К1,1,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.76365,37.574013,Все свои,Клуб,2014-04-30 20:58:15
48,3-я ул. Ямского поля 15,5,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.782486,37.579381,Мажор Холл,Клуб,2016-12-10 06:47:47
49,Попова 6,1,Екатеринбург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,56.83617,60.592444,Tele-port,Клуб,2012-06-12 14:42:52
50,Дачная 2,13,Самара,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,53.20206,50.141302,Айсберг,Клуб,2017-03-12 19:58:36
51,Толмачева 12,3,Екатеринбург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,56.838258,60.61024,Квартира,Клуб,2011-09-30 18:34:01
52,Блюхера 58,7,Екатеринбург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,56.846095,60.632455,F1,Клуб,2017-03-09 13:23:57
53,Тельмана 46,4,Краснодар,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,45.04084,38.987512,V-Twin,Клуб,2015-12-19 22:16:40
54,Большой просп. П.С. 43,4,Санкт-Петербург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,59.960769,30.304882,Держись,Клуб,2016-12-15 20:28:04
55,просп. Ленина 97,0,Мурманск,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,68.975689,33.094932,Умка,Клуб,2012-04-16 11:41:17
56,Летниковская 6а,3,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.726056,37.644585,Восточный дом,Клуб,2016-10-12 06:22:14
57,Холодильный пер. 3,52,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.708917,37.625451,Tuning Hall,Клуб,2016-11-09 22:25:26
58,Первомайская ул. 16,0,Екатеринбург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,56.817774,60.676729,PV,Клуб,2012-05-25 15:17:26
59,Б.Никитская 19К13,0,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.756974,37.600963,Blues Time,Клуб,
60,Паустовского 8К1,9,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.599072,37.538373,Икенга,Клуб,2015-10-11 19:56:24
61,Санкт-Петербургскийский 6,0,Челябинск,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.157428,61.394918,Sugar Free,Клуб,2014-08-17 08:30:35
62,Московский просп. 97,1,Санкт-Петербург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,59.893231,30.317243,Моссoncert,Клуб,2016-05-30 10:27:39
63,Новопесчаная 12,9,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.798849,37.513233,Питер,Клуб,2017-02-18 22:46:51
64,Берсеневская наб. 6К3,14,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.740603,37.609254,Палитра,Клуб,2013-12-19 06:40:02
65,Театральный пр. 3К3,80,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.759993,37.622603,Мастерская,Клуб,2016-09-22 14:33:17
66,Новослободская 46,2,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.785792,37.595609,Рэй,Клуб,2012-10-13 16:30:59
67,Донская 15,4,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.723693,37.608113,Newton Bar,Клуб,2014-08-16 13:47:53
68,Вавилова 65,9,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.684655,37.554394,X.O.,Клуб,2016-05-13 12:47:29
69,Дзержинского 98а,3,Ставрополь,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,45.044998,41.978031,Live city dance hall,Клуб,2016-04-25 13:41:08
70,Ломоносова 72К2,0,Краснодар,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,45.022074,38.979418,Караганда,Клуб,2012-09-10 07:34:54
71,Стартовая 19а,4,Красногорск,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.837879,37.300431,Пятница,Клуб,2016-06-12 17:08:30
72,Подзеленье ,82,Ярославль,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,57.621166,39.897002,Мед,Клуб,2016-12-18 03:12:04
73,Дачная 2,31,Самара,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,53.201974,50.141302,Оперетта,Клуб,2014-06-14 23:20:34
74,Комендантский 47,21,Санкт-Петербург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,59.89973,30.289799,Place,Клуб,2017-02-23 19:32:53
75,Токарей 24,1,Екатеринбург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,56.837957,60.561362,Mixx,Клуб,2014-09-30 05:45:32
76,Профессора Баранова 34,1,Калининград,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,54.721312,20.510802,Moon,Клуб,2012-10-21 13:44:08
77,Металлистов 10,10,Екатеринбург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,56.810847,61.331191,Riviera,Клуб,2015-11-26 12:01:24
78,Большая Монетная 7,6,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.725706,37.673457,Tabula Rasa,Клуб,2015-08-21 20:06:56
79,Профсоюзная 27К1,2,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.673869,37.559505,Джазман,Клуб,2016-07-20 22:06:17
80,Опалихинская 15,0,Екатеринбург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,56.848699,60.564452,City,Клуб,2015-02-02 15:04:29
81,ул. Казанская 7,0,Санкт-Петербург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,59.933519,30.323863,Kvartal,Клуб,2012-07-30 21:38:28
82,Куйбышева 4,0,Пермь,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,58.014536,56.232632,Loco,Клуб,
83,Гоголя 1,8,Петрозаводск,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,61.783937,34.366201,"""Barcelona"" Cafe-Bar-Club",Клуб,2014-01-08 21:13:59
84,промзона 1а,1,Нижний Новгород,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,56.34282,43.835082,Рим,Клуб,2012-11-20 08:24:22
85,М.Бронная 10,1,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.760722,37.596669,Rush,Клуб,2014-01-31 16:10:09
86,Ниж.Сусальный пер. 5К15а,10,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.76129,37.663068,Воздух,Клуб,2012-10-29 09:46:31
87,Таганская 2,2,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.73549,37.616953,Mixtura,Клуб,2012-11-28 08:08:13
88,просп. Энгельса 154,0,Санкт-Петербург,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,60.058668,30.336112,Запой,Клуб,
89,Крымский вал 3К2,4,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.72927,37.609124,Pridebar,Клуб,2015-11-12 18:09:12
90,Б.Златоустинский пер. 7,75,Москва,Россия,2010-08-02 09:39:01,https://vk.com/images/places/clubs.png,55.758686,37.632768,Bourbon Street,Клуб,2017-02-17 19:44:29
